Cycle,Calculation time [ms],LHand x[m],LHand y[m],LHand z[m],RHand x[m],RHand y[m],RHand z[m],LShoulder x[m],LShoulder y[m],LShoulder z[m],RShoulder x[m],RShoulder y[m],RShoulder z[m],LElbow x[m],LElbow y[m],LElbow z[m],RElbow x[m],RElbow y[m],RElbow z[m],LHand x[m],LHand y[m],LHand z[m],RHand x[m],RHand y[m],RHand z[m],Body x[m],Body y[m],Body z[m],cur Angle1[rad],cur Angle2[rad],des Angle1[rad],des Angle2[rad],cur Anvel1[rad/s],cur Anvel2[rad/s],des Anvel1[rad/s],des Anvel2[rad/s],cur Anacc1[rad/s2],cur Anacc2[rad/s2],des Anacc1[rad/s2],des Anacc2[rad/s2],DelPos x [m],DelPos y [m]
0,5.49572,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
1,5.40633,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
2,7.7395,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
3,6.65154,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
4,6.63168,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
5,7.20347,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
6,7.23327,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
7,6.66115,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
8,6.67671,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
9,6.66214,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
10,6.66876,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
11,6.73531,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
12,6.67903,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
13,6.64492,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
14,6.80848,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
15,6.65353,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
16,7.57197,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,-10000,-10000,0,1.57084,-3.14163,1.57084,-3.14163,0,0,0,0,0,0,0,0,-10000.3,-9999.65,
